153.498,0,,,
154.083,0,,,
154.667,0,,,
155.252,0,,,
155.837,0,,,
156.422,0,,,
153.498,0,,,
159.345,0,,,
188.552,0,,,
171.035,0,,,
194.386,0,,,
165.192,0,,,
176.876,0,,,
182.715,0,,,
154.083,0,,,
159.930,0,,,
